[06/15/20 02:07:41] Server Open OK # Port:20000
[06/15/20 02:10:02] Server Open OK # Port:20000
[06/15/20 02:11:41] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:12:42] Connect Session # IP:127.0.0.1 / SessionID:2 
[06/15/20 02:21:32] Server Open OK # Port:20000
[06/15/20 02:21:37] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:24:15] Server Open OK # Port:20000
[06/15/20 02:24:19] Server Open OK # Port:20000
[06/15/20 02:25:38] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:27:41] Frame : 26  Loop : 22155
[06/15/20 02:31:37] Frame : 26  Loop : 20987
[06/15/20 02:31:58] Frame : 26  Loop : 22304
[06/15/20 02:33:22] Frame : 26  Loop : 22060
[06/15/20 02:35:30] Frame : 26  Loop : 21050
[06/15/20 02:37:38] Frame : 26  Loop : 20297
[06/15/20 02:37:42] Connect Session # IP:127.0.0.1 / SessionID:2 
[06/15/20 02:37:57] Server Open OK # Port:20000
[06/15/20 02:38:10] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:38:58] Server Open OK # Port:20000
[06/15/20 02:40:52] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:41:49] Server Open OK # Port:20000
[06/15/20 02:41:54] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:42:47] Connect Session # IP:127.0.0.1 / SessionID:2 
[06/15/20 02:43:01] Connect Session # IP:127.0.0.1 / SessionID:3 
[06/15/20 02:43:55] Server Open OK # Port:20000
[06/15/20 02:44:09] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:44:32] Connect Session # IP:127.0.0.1 / SessionID:2 
[06/15/20 02:44:42] Connect Session # IP:127.0.0.1 / SessionID:3 
[06/15/20 02:52:08] Server Open OK # Port:20000
[06/15/20 02:52:18] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 02:52:18] Frame : 15  Loop : 11303
[06/15/20 02:52:19] Frame : 36  Loop : 17298
[06/15/20 02:52:29] Connect Session # IP:127.0.0.1 / SessionID:2 
[06/15/20 02:54:38] Server Open OK # Port:20000
[06/15/20 02:54:46] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 03:23:39] Server Open OK # Port:20000
[06/15/20 03:30:43] Connect Session # IP:127.0.0.1 / SessionID:1 
